code_iata,code_oaci,name,iso_country,latitude_deg,longitude_deg
UTK,03N,Utirik Airport,MH,11.222219,169.851429
OCA,07FA,Ocean Reef Club Airport,US,25.325399398804,-80.274803161621
CUX,07TE,Cuddihy Field,US,27.7211,-97.512802
CSE,0CO2,Crested Butte Airpark,US,38.851918,-106.928341
CUS,0NM0,Columbus Airport,US,31.823898,-107.629924
JCY,0TE7,LBJ Ranch Airport,US,30.251801,-98.622498
WLR,13Z,Loring Seaplane Base,US,55.601299,-131.636993
NUP,16A,Nunapitchuk Airport,US,60.905591,-162.440454
PTC,16K,Port Alice Seaplane Base,US,55.803,-133.597
ICY,19AK,Icy Bay Airport,US,59.966269,-141.660118
PPV,19P,Port Protection Seaplane Base,US,56.328800201416,-133.61000061035
KKK,1KC,Kalakaket Creek AS Airport,US,64.4166256967,-156.820392609
MHS,1O6,Dunsmuir Muni-Mott Airport,US,41.263199,-122.272003
NIR,1XA2,Chase Field Industrial Airport,US,28.362444,-97.661917
GCT,1Z1,Grand Canyon Bar Ten Airstrip,US,36.258614,-113.231159
ELW,1Z9,Ellamar Seaplane Base,US,60.893818,-146.704038
LVD,2AK,Lime Village Airport,US,61.3591003418,-155.440002441
HGZ,2AK6,Hog River Airport,US,66.176133,-155.684816
OTN,2IG4,Ed-Air Airport,US,38.851782,-87.49987
TLF,2K5,Telida Airport,US,63.393901824951,-153.26899719238
BZT,2TE0,Eagle Air Park,US,28.982200622559,-95.579696655273
HBH,2Z1,Entrance Island Seaplane Base,US,57.412201,-133.43848
FAK,2Z6,False Island Seaplane Base,US,57.5321998596,-135.212997437
BYW,38WA,Blakely Island Airport,US,48.579162,-122.823844
DRF,3AK5,Drift River Airport,US,60.5889015198,-152.162002563
BDF,3IS8,Rinkenberger Restricted Landing Area,US,41.2308998108,-89.61569976810001
TEH,3T4,Tetlin Airport,US,63.124618,-142.518005
VRS,3VS,Roy Otten Memorial Airfield,US,38.427799224854,-92.875198364258
GDH,3Z8,Golden Horn Lodge Seaplane Base,US,59.7470016479,-158.875
ATT,4A2,Atmautluak Airport,US,60.866699,-162.272996
LIV,4AK,Livengood Camp Airport,US,65.467,-148.6534
PDB,4K0,Pedro Bay Airport,US,59.796925,-154.129994
KOZ,4K5,Ouzinkie Airport,US,57.942094,-152.464314
TNK,4KA,Tununak Airport,US,60.569638,-165.246649
WHD,4Z7,Hyder Seaplane Base,US,55.903324,-130.009975
MNT,51Z,Minto Al Wright Airport,US,65.147991,-149.368658
TKI,57A,Tokeen Seaplane Base,US,55.9370994568,-133.32699585
WKK,5A8,Aleknagik / New Airport,US,59.2826004028,-158.617996216
WFB,5KE,Ketchikan Harbor Seaplane Base,US,55.349899,-131.677002
RFK,5MS1,Rollang Field,US,32.953543,-90.845144
NNK,5NK,Naknek Airport,US,58.735633,-157.02216
BKF,5Z9,Lake Brooks Seaplane Base,US,58.554798,-155.776993
BCS,65LA,Southern Seaplane Airport,US,29.866078,-90.021608
MMN,6B6,Minute Man Air Field,US,42.460298,-71.519031
SPQ,6CA3,Catalina Air-Sea Terminal Heliport,US,33.7491989136,-118.275001526
TSS,6N5,East 34th Street Heliport,US,40.742372,-73.972074
NYS,6N7,New York Skyports Inc Seaplane Base,US,40.735061,-73.972814
BWL,6OK6,Earl Henry Airport,US,36.7958984375,-97.3170013428
WYB,78K,Yes Bay Lodge Seaplane Base,US,55.9163017273,-131.800994873
CWS,78WA,Center Island Airport,US,48.490046,-122.831612
TEK,7KA,Tatitlek Airport,US,60.871449,-146.690297
DUF,7NC2,Pine Island Airport,US,36.252744,-75.785256
SSW,7WA5,Stuart Island Airpark,US,48.673379,-123.175439
FOB,82CL,Fort Bragg Airport,US,39.472445,-123.795319
PUL,83Q,Port of Poulsbo Marina Moorage Seaplane Base,US,47.734001159668,-122.64700317383
CCD,84CL,Century City Heliport,US,34.060798645,-118.417999268
WMK,84K,Meyers Chuck Seaplane Base,US,55.7396011353,-132.255004883
AXB,89NY,Maxson Airfield,US,44.312002,-75.90034
REE,8XS8,Reese Airpark,US,33.590301513672,-102.03700256348
WDN,90WA,Waldron Airstrip,US,48.71141,-123.018208
WWP,96Z,Whale Pass Seaplane Float Harbor Facility,US,56.116299,-133.121994
CHU,9A3,Chuathbaluk Airport,US,61.579102,-159.216003
UGS,9A8,Ugashik Airport,US,57.523476,-157.396344
JID,9CA3,Recreation and Conference Center Heliport,US,34.020472,-117.927396
PSQ,9N2,Philadelphia Seaplane Base,US,39.859001159668,-75.299598693848
KLL,9Z8,Levelock Airport,US,59.12606,-156.860906
SGW,A23,Saginaw Seaplane Base,US,56.8862991333,-134.158004761
WTL,A61,Tuntutuliak Airport,US,60.351243,-162.654476
TWA,A63,Twin Hills Airport,US,59.074713,-160.274992
KCQ,A79,Chignik Lake Airport,US,56.2550010681,-158.774993896
AAD,AAD,Adado Airport,SO,6.095802,46.6375
ABP,ABP,Atkamba Airport,PG,-6.06462,141.095173
ACM,ACM,Arica Airport,CO,-2.143713,-71.75935
ADV,ADV,El Daein Airport,SD,11.4023,26.1186
AEE,AEE,Adareil Airport,SS,10.053611,32.959444
AEQ,AEQ,Ar Horqin Airport,CN,43.908407,120.15099
AFK,AFK,Kondavattavana Tank Seaplane Base,LK,7.284,81.644
AFT,AGAF,Afutara Aerodrome,SB,-9.191389,160.948611
RNA,AGAR,Ulawa Airport,SB,-9.86054358262,161.979546547
ATD,AGAT,Uru Harbour Airport,SB,-8.87333,161.011002
VEV,AGBA,Barakoma Airport,SB,-7.912779808044434,156.70599365234375
BPF,AGBT,Batuna Aerodrome,SB,-8.56202777778,158.119305556
GEF,AGEV,Geva Airport,SB,-7.575829982757568,156.5970001220703
AGG,AGG,Angoram Airport,PG,-4.057077,144.073841
AKS,AGGA,Gwaunaru'u Airport,SB,-8.70257,160.682007
BNY,AGGB,Bellona/Anua Airport,SB,-11.3022222222,159.798333333
CHY,AGGC,Choiseul Bay Airport,SB,-6.711944,156.396111
BAS,AGGE,Ballalae Airport,SB,-6.990745,155.886656
FRE,AGGF,Fera/Maringe Airport,SB,-8.1075,159.576996
HIR,AGGH,Honiara International Airport,SB,-9.428,160.054993
MBU,AGGI,Babanakira Airport,SB,-9.7475,159.839005
AVU,AGGJ,Avu Avu Airport,SB,-9.868333,160.410556
IRA,AGGK,Ngorangora Airport,SB,-10.4497003555,161.897994995
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport,SB,-10.7203,165.794998
MUA,AGGM,Munda Airport,SB,-8.32797,157.263
GZO,AGGN,Nusatupe Airport,SB,-8.09778022766,156.863998413
MNY,AGGO,Mono Airport,SB,-7.416940212249756,155.56500244140625
PRS,AGGP,Parasi Airport,SB,-9.64167022705078,161.4250030517578
RNL,AGGR,Rennell/Tingoa Airport,SB,-11.55,160.062778
EGM,AGGS,Sege Airport,SB,-8.57889,157.876007
NNB,AGGT,Santa Ana Airport,SB,-10.847994,162.454108
RUS,AGGU,Marau Airport,SB,-9.86166954041,160.824996948
VAO,AGGV,Suavanao Airport,SB,-7.58556,158.731003
XYA,AGGY,Yandina Airport,SB,-9.092816,159.21841
AGK,AGK,Kagua Airport,PG,-6.396388888890001,143.853611111
KGE,AGKG,Kaghau Airport,SB,-7.3305,157.585
KUE,AGKU,Kukudu Airport,SB,-8.0262,156.94783
KWS,AGKW,Kwailabesi Airport,SB,-8.360508,160.775127
LLM,AGLM,Lomlom Airport,SB,-10.296828,166.327322
NAZ,AGNA,Nana Airport,SB,-10.6758,162.2049
MHM,AGOB,Manaoba Airport,SB,-8.325008,160.80051
GTA,AGOK,Gatokae Aerodrome,SB,-8.738358,158.202836
RIN,AGRC,Ringi Cove Airport,SB,-8.12639045715332,157.14300537109375
RBV,AGRM,Ramata Airport,SB,-8.168060302734375,157.64300537109375
TLG,AGTI,Tulaghi Heliport,SB,-9.108,160.149166667
AGY,AGY,Argyle Downs Airport,AU,-16.508604,128.922485
AHY,AHY,Ambatolhy Airport,MG,-20.0158333333,45.535
AIC,AIP,Ailinglaplap Airok Airport,MH,7.279422,168.8257
CEX,AK13,Chena Hot Springs Airport,US,65.0518035889,-146.04699707
SOL,AK26,Solomon State Field,US,64.5605,-164.4457
HED,AK33,Herendeen Bay Airport,US,55.802346,-160.901346
